standard,trafficMode,nUsers,minLoadMbps,maxLoadMbps,packetSize,totalDlMbps,totalUlMbps,totalNetworkMbps,jainFairness,avgDelayMs,spectralEfficiencyBpsPerHz,packetDropRatePercent
ac,downlink,4,0,30,1200,22.9805,0.0000,22.9805,0.8601,0.5832,0.2873,0.1139
ac,downlink,4,10,20,1200,25.8306,0.0000,25.8306,0.9860,0.6165,0.3229,0.1140
ac,downlink,4,10,30,1200,33.4900,0.0000,33.4900,0.9672,0.6930,0.4186,0.1172
ac,downlink,8,0,5,1200,9.7782,0.0000,9.7782,0.8283,0.1807,0.1222,0.0000
ac,downlink,8,0,20,1200,39.0962,0.0000,39.0962,0.8286,1.3777,0.4887,0.0781
ac,downlink,8,0,30,1200,58.6373,0.0000,58.6373,0.8286,2.1147,0.7330,0.0948
ac,downlink,8,10,20,1200,55.8953,0.0000,55.8953,0.9753,1.9890,0.6987,0.0917
ac,downlink,8,10,30,1200,75.4330,0.0000,75.4330,0.9473,3.5860,0.9429,0.1055
ac,downlink,20,0,5,1200,21.4556,0.0000,21.4556,0.7523,2.1689,0.2682,0.0864
ac,downlink,20,0,20,1200,85.7046,0.0000,85.7046,0.7523,14.4386,1.0713,0.2553
ac,downlink,20,0,30,1200,124.3522,0.0000,124.3522,0.7630,196.2193,1.5544,3.5222
ac,downlink,20,10,20,1200,123.1089,0.0000,123.1089,0.9743,185.7394,1.5389,8.0718
ac,downlink,20,10,30,1200,132.7812,0.0000,132.7812,0.9904,243.8502,1.6598,24.9343
ac,uplink,4,0,5,1200,0.0000,3.8325,3.8325,0.8595,0.1072,0.0479,0.0000
ac,uplink,4,0,20,1200,0.0000,15.3276,15.3276,0.8598,0.1894,0.1916,0.0569
ac,uplink,4,0,30,1200,0.0000,22.9893,22.9893,0.8598,0.4875,0.2874,0.0759
ac,uplink,4,10,20,1200,0.0000,25.8360,25.8360,0.9858,0.8071,0.3230,0.0929
ac,uplink,4,10,30,1200,0.0000,33.4922,33.4922,0.9669,1.9263,0.4187,0.1107
ac,uplink,8,0,5,1200,0.0000,9.7727,9.7727,0.8285,0.1696,0.1222,0.0558
ac,uplink,8,0,20,1200,0.0000,39.0187,39.0187,0.8283,9.5517,0.4877,0.2762
ac,uplink,8,0,30,1200,0.0000,58.4517,58.4517,0.8289,48.2296,0.7306,0.4110
ac,uplink,8,10,20,1200,0.0000,55.7359,55.7359,0.9752,26.1112,0.6967,0.3766
ac,uplink,8,10,30,1200,0.0000,74.6013,74.6013,0.9503,96.9809,0.9325,1.2070
ac,uplink,20,0,5,1200,0.0000,21.3868,21.3868,0.7525,2.3299,0.2673,0.4066
ac,uplink,20,0,20,1200,0.0000,72.2293,72.2293,0.7573,217.4187,0.9029,15.9381
ac,uplink,20,0,30,1200,0.0000,90.9200,90.9200,0.7979,544.5492,1.1365,29.4603
ac,uplink,20,10,20,1200,0.0000,87.2087,87.2087,0.9229,415.6054,1.0901,34.8793
ac,uplink,20,10,30,1200,0.0000,99.8304,99.8304,0.8477,699.5014,1.2479,43.5625
